Best players (from last to best):

1:	10	epsilon = 0.7, 	trained vs Self 		10000	epochs
2:	10	epsilon = 0.8, 	trained vs RandomvsSelf 	10000	epochs
3:	15	epsilon = 0.5, 	trained vs Random 		10000	epochs
4:	15	epsilon = 0.5, 	trained vs RandomvsSelf 	10000	epochs
5:	20	epsilon = 0.8, 	trained vs Random 		10000	epochs
6:	25	epsilon = 0.9, 	trained vs Random 		10000	epochs
7:	25	epsilon = 1.0, 	trained vs SelfvsRandom 	10000	epochs
8:	30	epsilon = 0.3, 	trained vs Random 		10000	epochs
9:	30	epsilon = 0.3, 	trained vs RandomvsSelf 	10000	epochs
10:	30	epsilon = 0.7, 	trained vs SelfvsRandom 	10000	epochs
11:	30	epsilon = 0.5, 	trained vs Self 		10000	epochs
12:	35	epsilon = 1.0, 	trained vs RandomvsSelf 	10000	epochs
13:	45	epsilon = 0.6, 	trained vs Self 		10000	epochs
14:	50	epsilon = 0.5, 	trained vs SelfvsRandom 	60000	epochs
15:	50	epsilon = 0.1, 	trained vs Self 		60000	epochs
16:	55	epsilon = 0.9, 	trained vs RandomvsSelf 	60000	epochs
17:	65	epsilon = 0.4, 	trained vs RandomvsSelf 	60000	epochs
18:	70	epsilon = 0.9, 	trained vs Self 		60000	epochs
19:	70	epsilon = 0.1, 	trained vs RandomvsSelf 	60000	epochs
20:	75	epsilon = 0.1, 	trained vs Random 		60000	epochs
21:	75	epsilon = 0.7, 	trained vs Random 		60000	epochs
22:	75	epsilon = 0.6, 	trained vs SelfvsRandom 	60000	epochs
23:	75	epsilon = 0.6, 	trained vs RandomvsSelf 	60000	epochs
24:	80	epsilon = 0.4, 	trained vs SelfvsRandom 	60000	epochs
25:	85	epsilon = 0.7, 	trained vs RandomvsSelf 	60000	epochs
26:	85	epsilon = 0.1, 	trained vs SelfvsRandom 	60000	epochs
27:	100	epsilon = 1.0, 	trained vs Random 		10000	epochs
28:	100	epsilon = 0.4, 	trained vs Random 		60000	epochs
29:	110	epsilon = 0.6, 	trained vs Random 		60000	epochs
30:	110	epsilon = 0.3, 	trained vs SelfvsRandom 	60000	epochs
31:	115	epsilon = 0.3, 	trained vs Self 		60000	epochs
32:	125	epsilon = 0.4, 	trained vs Self 		60000	epochs
33:	130	epsilon = 0.2, 	trained vs SelfvsRandom 	60000	epochs
34:	145	epsilon = 0.8, 	trained vs Self 		60000	epochs
35:	150	epsilon = 0.9, 	trained vs SelfvsRandom 	60000	epochs
36:	155	epsilon = 0.8, 	trained vs SelfvsRandom 	60000	epochs
37:	180	epsilon = 0.2, 	trained vs Self 		60000	epochs
38:	200	epsilon = 1.0, 	trained vs Self 		60000	epochs
39:	255	epsilon = 0.2, 	trained vs Random 		60000	epochs
40:	345	epsilon = 0.2, 	trained vs RandomvsSelf 	60000	epochs
